time,AERONET_Site,Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty.1,AOD_Empty.2,AOD_Empty.3,AOD_Empty.4,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)_
2010-10-28 12:00:00,Sao_Paulo,301.0,-999.0,0.086657,0.105005,-999.0,-999.0,0.133401,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.197541,-999.0,-999.0,0.243037,-999.0,-999.0,0.290805,0.331858,1.367379,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.212826,1.369476,1.368284,1.141675,1.221911,-999.0,0.0,20.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-10-29 12:00:00,Sao_Paulo,302.0,-999.0,0.10034,0.123465,-999.0,-999.0,0.166726,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.260605,-999.0,-999.0,0.324024,-999.0,-999.0,0.403465,0.468608,1.571706,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.412699,1.595216,1.538974,1.363394,1.464099,-999.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,19.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-02 12:00:00,Sao_Paulo,306.0,-999.0,0.115875,0.148277,-999.0,-999.0,0.21086,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.313713,-999.0,-999.0,0.369081,-999.0,-999.0,0.438309,0.495485,1.394046,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.339511,1.193497,1.312691,1.36901,1.154382,-999.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-03 12:00:00,Sao_Paulo,307.0,-999.0,0.128642,0.159746,-999.0,-999.0,0.225674,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.357654,-999.0,-999.0,0.442306,-999.0,-999.0,0.542683,0.618114,1.881279,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.478984,1.493337,1.558485,1.452821,1.369073,-999.0,0.0,22.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-04 12:00:00,Sao_Paulo,308.0,-999.0,0.109993,0.140175,-999.0,-999.0,0.206552,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.332493,-999.0,-999.0,0.406535,-999.0,-999.0,0.493214,0.538106,2.34351,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.566002,1.406836,1.58642,1.577991,1.258835,-999.0,0.0,26.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-05 12:00:00,Sao_Paulo,309.0,-999.0,0.093551,0.118291,-999.0,-999.0,0.176068,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.286188,-999.0,-999.0,0.349184,-999.0,-999.0,0.421207,0.474092,2.534141,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.595871,1.378481,1.606364,1.616999,1.201986,-999.0,0.0,18.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,0.0,lev20,624.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-27 12:00:00,Sao_Paulo,331.0,-999.0,0.065548,0.083193,-999.0,-999.0,0.122646,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.203066,-999.0,-999.0,0.252474,-999.0,-999.0,-999.0,-999.0,2.284125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.657853,1.78776,1.720498,1.641312,-999.0,-999.0,0.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,13.0,13.0,0.0,0.0,lev20,196.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-28 12:00:00,Sao_Paulo,332.0,-999.0,0.040054,0.048535,-999.0,-999.0,0.069495,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.118013,-999.0,-999.0,0.149904,-999.0,-999.0,-999.0,-999.0,1.590793,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.676908,1.897264,1.818631,1.619614,-999.0,-999.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,lev20,196.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-11-29 12:00:00,Sao_Paulo,333.0,-999.0,0.071256,0.081944,-999.0,-999.0,0.10786,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.161426,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.98774,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.240429,-999.0,1.359571,1.240429,-999.0,-999.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,lev20,196.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
2010-12-02 12:00:00,Sao_Paulo,336.0,-999.0,0.058128,0.070225,-999.0,-999.0,0.098246,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.161937,-999.0,-999.0,0.194157,-999.0,-999.0,-999.0,-999.0,3.542405,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.522687,1.415584,1.613988,1.521274,-999.0,-999.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,lev20,196.0,Sao_Paulo,-23.5615,-46.734983,786.000000<br>
